Airline_Name,Airline_ID,Aircraft_Model,Flight_Type,Source_Airport_Name,Source_Airport_Code,Destination_Airport_Name,Destination_Airport_Code,Airport_region_code,Departure Date,Scheduled_Depature,Actual_Depature,Scheduled_Arrival,Actual_Arrival,Arrival_Date,FREQUENCY,Travel_Time,Accuracy,Validity,Completeness,,,,
Vistara,NK404,Airbus A350,Domestic,Yalgoo Airport,YLG,Siocon Airport,XSO,,11/20/2022,9:04 PM,10:32 PM,9:58 PM,10:45 PM,,bimonthly,0:13,ACCURATE,VALID,INCOMPLETE,,,,
Emirates,F9505,Airbus A350,Domestic,Greenway Sound Seaplane Base,YGN,Manapouri Airport,TEU,CA-NA,3/30/2022,11:56 AM,2:48 PM,3:04 PM,3:10 PM,3/30/2022,daily,0:21,ACCURATE,VALID,COMPLETE,,,Accuracy,Count
Qantas,NK404,Boeing 777,International,,QGP,Inverway Airport,IVW,BR-SA,12/5/2022,1:19 AM,3:59 AM,4:27 AM,4:32 AM,12/5/2022,monthly,0:32,ACCURATE,VALID,COMPLETE,,,accurate,424
Lufthansa,WN101,Airbus A380,Domestic,Toronto/Oshawa Executive Airport,YOO,Tep Tep Airport,TEP,CA-NA,10/5/2022,6:04 AM,8:12 AM,7:40 AM,8:45 AM,10/5/2022,biweekly,0:33,ACCURATE,VALID,COMPLETE,,,inaccurate,576
Qatar_Airways,WN101,Airbus A380,INT,San Jose Airport,SJI,,EUM,PH-AS,6/24/2022,12:21 PM,3:15 PM,3:10 PM,4:02 PM,6/24/2022,biweekly,0:47,ACCURATE,VALID,COMPLETE,,,,
Qatar_Airways,AA123,Airbus A330,International,Luderitz Airport,LUD,Maintirano Airport,MXT,NA-AF,11/29/2022,9:55 AM,9:58 AM,11:02 AM,11:06 AM,,biweekly,1:07,ACCURATE,VALID,INCOMPLETE,,,,
Singapore_Airlines,AS303,Boeing 787,INT,Perry Lefors Field,PPA,Russian Mission Airport,RSH,US-NA,1/25/2022,2:36 PM,3:46 PM,4:36 PM,4:56 PM,1/25/2022,weekly,1:09,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,AS303,Airbus A330,Domestic,Koliganek Airport,KGK,,DLE,US-NA,3/18/2022,9:55 AM,12:19 PM,11:54 AM,1:29 PM,3/18/2022,monthly,1:10,ACCURATE,VALID,COMPLETE,,,,
Vistara,AA123,Boeing 737,INT,Tuticorin Airport,TCR,Dadu West Airport,,IN-AS,7/27/2022,5:35 AM,6:25 AM,7:53 AM,8:09 AM,7/27/2022,monthly,1:43,ACCURATE,VALID,COMPLETE,,,Completeness,Count
Cathay_Pacific,AA123,Boeing 737,DOM,Sawyer International Airport,MQT,Porgera Airport,,US-NA,3/25/2022,7:30 PM,10:07 PM,11:07 PM,11:59 PM,3/25/2022,weekly,1:51,ACCURATE,VALID,COMPLETE,,,complete,640
Cathay_Pacific,B6202,Boeing 747,International,Borg El Arab International Airport,HBE,Francisco Bangoy International Airport,,EG-AF,6/11/2022,6:58 PM,8:48 PM,9:02 PM,10:41 PM,6/11/2022,daily,1:53,ACCURATE,VALID,COMPLETE,,,incomplete,360
Ethihad,DL456,Airbus A320,International,Fort Worth Meacham International Airport,FTW,Changsha Huanghua International Airport,CSX,US-NA,4/4/2022,2:19 AM,3:10 AM,3:30 AM,5:06 AM,4/4/2022,biweekly,1:56,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,NK404,Boeing 737,Domestic,Sligo Airport,SXL,,FLE,IE-EU,10/3/2022,7:44 AM,9:38 AM,10:45 AM,11:37 AM,10/3/2022,monthly,1:59,ACCURATE,VALID,COMPLETE,,,,
Singapore_Airlines,NK404,Boeing 747,International,Miramar Airport,MJR,Pweto Airport,PWO,AR-SA,3/19/2022,10:25 AM,12:16 PM,1:02 PM,2:18 PM,3/19/2022,biweekly,2:02,ACCURATE,VALID,COMPLETE,,,Validity,Count
Air_France,DL456,Boeing 787,INT,Orange County Airport,MGJ,Eugenio Maria De Hostos Airport,MAZ,US-NA,6/19/2022,7:13 AM,9:45 AM,10:42 AM,11:53 AM,6/19/2022,daily,2:08,ACCURATE,VALID,COMPLETE,,,valid,1000
Air_France,UA789,Airbus A380,International,,LEJ,,QJI,DE-EU,6/26/2022,9:54 PM,10:58 PM,11:45 PM,1:09 AM,6/26/2022,biweekly,2:11,ACCURATE,VALID,COMPLETE,,,invalid,0
Cathay_Pacific,AS303,Airbus A380,Domestic,Ipil Airport,IPE,Dandong Airport,DDG,,3/26/2022,8:54 AM,11:49 AM,1:38 PM,2:05 PM,3/26/2022,biweekly,2:15,ACCURATE,VALID,COMPLETE,,,,
Cathay_Pacific,F9505,Airbus A380,DOM,,GEM,Orūzgān Airport,URZ,GQ-AF,1/20/2022,1:55 PM,4:38 PM,6:03 PM,6:53 PM,1/20/2022,daily,2:15,ACCURATE,VALID,COMPLETE,,,,
Lufthansa,AS303,Airbus A330,INT,Perth International Airport,PER,João Durval Carneiro Airport,FEC,AU-OC,4/14/2022,6:37 AM,9:31 AM,9:36 AM,11:47 AM,4/14/2022,daily,2:16,ACCURATE,VALID,COMPLETE,,,,
Vistara,SY808,Boeing 787,INT,Mansehra Airport,HRA,Kugaaruk Airport,YBB,PK-AS,8/14/2022,10:31 AM,12:41 PM,12:37 PM,3:03 PM,8/14/2022,weekly,2:21,ACCURATE,VALID,COMPLETE,,,,
Air_France,F9505,Airbus A380,International,,SIJ,Rzhevka Airport,RVH,IS-,3/12/2022,12:09 AM,12:20 AM,11:58 PM,2:41 AM,3/12/2022,monthly,2:21,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,SY808,Boeing 747,Domestic,Sunchales Aeroclub Airport,NCJ,Sanday Airport,NDY,AR-SA,3/24/2022,7:00 PM,7:24 PM,9:07 PM,9:46 PM,3/24/2022,biweekly,2:22,ACCURATE,VALID,COMPLETE,,,,
Air_France,AS303,Airbus A350,International,Gagnoa Airport,GGN,Leesburg International Airport,LEE,CI-AF,4/5/2022,5:26 AM,8:18 AM,9:41 AM,10:41 AM,4/5/2022,bimonthly,2:23,ACCURATE,VALID,COMPLETE,,,,
Delta_Airlines,G4606,Airbus A380,Domestic,,SQC,Ordu Giresun Airport,OGU,AU-OC,8/7/2022,1:53 AM,2:43 AM,4:40 AM,5:11 AM,8/7/2022,monthly,2:28,ACCURATE,VALID,COMPLETE,,,,
